,살인기수,살인미수등,강도,강간,유사강간,강제추행,기타 강간 강제추행등,방화,절도범죄,상해,폭행,체포 감금,협박,약취 유인,폭력행위등,공갈,손괴,직무유기,직권남용,증수뢰,통화,문서 인장,유가증권인지,사기,횡령,배임,성풍속범죄,도박범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄,기타강간강제추행등,절도,체포감금,약취유인,문서인장,강간강제추행,기타,sort
생활정도(하류),236,384,1412,2325.0,247.0,6752.0,363.0,1059,64243.0,35833,60979,432.0,3494,116.0,39148,1346,17294,28,11,129,81,5840.0,105,84091,12564,1225,5961,18004,41581,4508,9600,1196,235633,1482,70,269,12282,108959.0,,,,,,,,
생활정도(중류),69,135,412,1750.0,178.0,5597.0,208.0,322,29898.0,20727,35234,278.0,2272,42.0,22299,698,9434,136,79,429,23,3848.0,55,28513,7018,1566,4281,9212,18628,1569,6847,1378,149757,648,71,552,5104,70794.0,,,,,,,,
생활정도(상류),6,5,20,68.0,3.0,249.0,6.0,10,738.0,626,1141,18.0,93,5.0,504,41,383,4,1,57,0,166.0,6,863,297,142,96,215,683,125,1351,185,3165,36,3,92,71,3223.0,,,,,,,,
혼인관계(유배우자),122,175,325,964.0,96.0,5021.0,120.0,501,25367.0,27441,48750,288.0,2894,56.0,22686,601,12099,157,80,527,28,4404.0,96,45499,9961,2351,2700,17249,28170,2328,11402,2237,238439,1439,55,830,1997,96754.0,,,,,,,,
혼인관계(동거),18,27,38,90.0,12.0,223.0,15.0,81,1397.0,1848,4129,27.0,259,3.0,1584,43,905,1,1,33,3,175.0,5,2398,397,66,146,465,1014,251,334,66,4734,28,7,23,216,3431.0,,,,,,,,
혼인관계(이혼),59,115,166,451.0,44.0,1148.0,56.0,228,8198.0,6590,10104,127.0,940,24.0,4987,233,3424,1,1,30,5,1038.0,26,16554,2366,221,639,3477,7503,1039,2477,197,24391,234,10,21,348,20961.0,,,,,,,,
혼인관계(사별),12,20,13,43.0,3.0,219.0,10.0,38,2524.0,1337,1775,11.0,99,3.0,714,28,619,0,0,9,2,391.0,7,1908,440,48,59,697,1125,355,678,53,4410,30,0,23,18,4466.0,,,,,,,,
"미혼자부모관계(실부모,계부모)",178,249,1457,4073.0,380.0,7877.0,485.0,669,65680.0,24843,127550,773.0,5005,166.0,43031,2025,14702,701,505,243,248,13014.0,265,161846,22781,5547,8373,7278,52544,2940,5830,623,277400,664,102,224,15662,116135.0,,,,,,,,
"아파트,연립다세대",95,90,138,882.0,68.0,902.0,,261,,3373,7373,,620,,2171,312,2810,7,5,0,3,,0,9817,775,243,1006,341,1885,357,278,5,105,10,6,101,1725,9563.0,234.0,14333.0,93.0,22.0,256.0,,,
단독주택,95,102,182,954.0,63.0,790.0,,321,,3265,6344,,757,,2347,339,2771,13,9,2,6,,4,17487,800,159,1265,913,3093,891,290,26,34,12,9,76,4789,10863.0,280.0,19515.0,86.0,21.0,398.0,,,
고속도로,0,3,2,0.0,0.0,11.0,,1,,48,111,,3,,79,3,23,0,0,1,4,,0,86,42,1,2,0,19,7,5,1,2578,0,0,0,0,1078.0,0.0,177.0,6.0,0.0,14.0,,,
노상,59,126,423,249.0,30.0,3324.0,,210,,18320,52278,,894,,13843,987,22966,46,53,21,87,,13,10727,6188,86,2271,197,4256,1307,750,245,562472,76,7,358,723,32824.0,48.0,49527.0,227.0,66.0,519.0,,,
백화점,0,0,0,0.0,0.0,9.0,,2,,33,80,,8,,8,2,8,0,1,0,1,,0,164,136,4,17,0,99,1,3,0,1,0,0,1,1,67.0,0.0,1828.0,0.0,0.0,6.0,,,
슈퍼마켓,1,0,26,0.0,0.0,66.0,,4,,110,285,,13,,54,19,110,0,1,0,61,,2,409,233,4,52,5,447,1,142,0,3,1,1,1,0,650.0,2.0,4718.0,3.0,1.0,33.0,,,
편의점,1,1,154,4.0,0.0,158.0,,1,,218,936,,39,,155,61,207,1,1,0,75,,3,1223,405,2,55,3,1105,5,10,0,1,4,0,1,1,1267.0,3.0,4579.0,1.0,0.0,183.0,,,
대형할인매장,0,0,1,0.0,0.0,13.0,,2,,28,37,,6,,6,2,14,0,0,0,4,,0,117,47,1,93,0,129,0,18,0,1,0,0,0,0,88.0,0.0,1966.0,0.0,0.0,75.0,,,
상점,2,3,36,32.0,2.0,175.0,,18,,471,975,,68,,318,81,633,0,3,0,82,,6,5958,1014,80,171,253,2391,41,2008,29,38,4,1,19,43,3297.0,9.0,9520.0,6.0,2.0,584.0,,,
"시장,노점",0,4,10,19.0,2.0,75.0,,30,,374,527,,57,,224,98,332,3,1,1,26,,8,1546,304,43,48,90,877,23,650,5,55,8,0,18,8,2029.0,5.0,2998.0,3.0,1.0,155.0,,,
"숙박업소,목욕탕",21,16,89,1447.0,47.0,671.0,,26,,653,964,,53,,350,96,658,0,2,4,6,,2,1375,167,10,978,90,493,574,260,6,6,13,0,6,62,2135.0,137.0,6736.0,54.0,8.0,25.0,,,
유흥접객업소,12,25,101,281.0,36.0,1639.0,,65,,5511,10638,,298,,5058,841,2391,1,13,28,32,,10,17132,1074,111,369,702,7483,144,3351,56,5,154,3,121,5,16076.0,28.0,13952.0,33.0,4.0,276.0,,,
사무실,8,14,33,58.0,9.0,411.0,,47,,1912,2730,,457,,839,368,929,348,165,131,110,,134,49929,8255,2005,1400,1924,12496,231,1650,102,76,424,14,591,1967,23997.0,6.0,6247.0,50.0,3.0,6758.0,,,
공장,4,4,3,4.0,0.0,33.0,,21,,440,394,,18,,216,19,144,6,0,0,0,,2,1746,560,126,25,12,725,15,216,739,14,93,1,3,1,2563.0,0.0,2412.0,8.0,0.0,81.0,,,
"공사장,광산",1,0,3,2.0,0.0,6.0,,4,,251,277,,16,,150,21,159,4,2,3,0,,0,2027,365,45,1,1,362,3,7,184,30,21,1,0,0,1186.0,0.0,2384.0,3.0,0.0,32.0,,,
창고,1,1,0,12.0,0.0,6.0,,9,,38,29,,2,,17,2,73,0,0,0,0,,0,145,103,9,1,31,41,4,45,15,1,0,0,0,0,495.0,4.0,1424.0,2.0,0.0,4.0,,,
"역,대합실",1,4,3,3.0,0.0,222.0,,8,,181,456,,15,,82,24,94,1,0,3,10,,1,297,373,1,1092,1,203,72,13,10,14,326,2,4,9,1890.0,2.0,1172.0,0.0,7.0,23.0,,,
지하철,0,0,1,0.0,0.0,610.0,,5,,43,234,,3,,8,2,17,0,1,0,2,,0,26,198,0,564,0,38,5,1,0,0,0,0,1,1,86.0,2.0,628.0,0.0,0.0,1.0,,,
기타표통수단내,3,9,13,122.0,16.0,860.0,,3,,294,1147,,25,,79,34,83,0,1,0,18,,0,439,788,2,238,4,117,102,6,10,39,1,0,3,4,536.0,17.0,4924.0,51.0,4.0,6.0,,,
흥행장,0,0,0,6.0,0.0,50.0,,1,,48,86,,2,,30,1,19,1,2,0,5,,2,146,61,6,9,64,62,3,12,3,2,0,0,5,13,368.0,0.0,458.0,0.0,0.0,44.0,,,
유원지,0,2,21,37.0,5.0,180.0,,17,,514,1128,,25,,457,41,133,4,4,0,3,,0,248,305,1,89,35,55,21,18,1,12,0,0,18,59,543.0,9.0,1618.0,7.0,1.0,7.0,,,
학교,0,2,2,21.0,3.0,227.0,,5,,484,479,,42,,287,141,102,4,6,0,0,,0,368,137,16,191,1,171,3,11,1,10,3,0,12,15,970.0,13.0,2117.0,7.0,9.0,35.0,,,
금융기관,0,0,12,1.0,0.0,6.0,,0,,20,63,,4,,16,38,92,2,2,5,1428,,50,13283,913,127,12,10,3011,26,2,0,2,1,0,14,1,322.0,1.0,6432.0,0.0,1.0,315.0,,,
의료기관,6,6,8,24.0,2.0,179.0,,16,,539,932,,76,,162,37,98,7,4,1,8,,2,1994,173,15,30,0,623,97,1168,72,14,3,0,2,15,1645.0,1.0,2077.0,75.0,2.0,119.0,,,
종교기관,1,2,6,21.0,1.0,39.0,,16,,124,313,,25,,118,11,121,2,0,0,1,,0,297,100,19,12,1,110,1,12,0,2,0,0,18,5,513.0,2.0,1258.0,2.0,1.0,31.0,,,
산야,8,6,4,34.0,1.0,26.0,,11,,200,168,,19,,142,5,1051,12,7,0,1,,1,535,100,28,6,30,110,116,95,201,49,2,1,2,25,2755.0,4.0,2705.0,1.0,1.0,13.0,,,
해상,1,1,0,0.0,0.0,1.0,,1,,20,46,,1,,28,1,57,1,1,0,0,,0,114,15,0,0,0,12,0,2,205,100,3,0,0,0,4723.0,0.0,40.0,0.0,0.0,4.0,,,
부대,0,0,0,2.0,0.0,5.0,,0,,14,42,,0,,16,1,0,0,0,0,0,,0,37,9,0,1,1,4,0,1,0,0,0,1,0,4255,47.0,0.0,34.0,1.0,0.0,3.0,,,
구금장소,0,0,0,0.0,0.0,3.0,,0,,4,11,,4,,1,0,0,5,6,0,0,,0,11,3,0,1,0,0,0,1,0,0,0,0,0,0,17.0,0.0,1.0,0.0,0.0,2.0,,,
공지,0,0,0,3.0,0.0,2.0,,0,,15,9,,1,,8,0,26,2,0,0,0,,0,31,15,1,1,0,4,3,2,12,3,0,0,0,7,141.0,0.0,94.0,0.0,0.0,1.0,,,
주차장,7,5,44,52.0,12.0,110.0,,47,,873,1865,,45,,542,47,6106,0,2,3,0,,0,328,307,9,27,11,111,43,25,4,1617,0,0,7,0,1236.0,8.0,11464.0,14.0,2.0,26.0,,,
공중화장실,0,0,2,42.0,11.0,66.0,,24,,46,88,,1,,49,3,26,0,0,0,0,,0,0,138,0,700,1,3,29,1,0,0,0,0,0,0,84.0,16.0,462.0,3.0,0.0,0.0,,,
피씨방,1,2,6,3.0,1.0,43.0,,2,,78,321,,11,,63,61,42,0,1,0,10,,1,1641,110,5,214,312,249,13,11,0,0,0,1,1,0,1325.0,1.0,2987.0,0.0,0.0,27.0,,,
기타,44,113,263,763.0,66.0,3693.0,,545,,11739,41554,,1579,,9766,1164,15702,107,71,48,787,,119,98726,12811,1297,5742,3260,32124,687,3593,604,6209,149,36,491,7815,55147.0,159.0,85435.0,209.0,42.0,4385.0,,,
단독범,307,554,770,5084.0,567.0,15476.0,434.0,1223,,60761,198838,1111.0,15531,158.0,5325,2434,32450,286,202,336,71,10177.0,156,136847,24934,2987,10613,14462,51966,5756,13684,3028,546238,3091,49,759,15204,229429.0,,,,,,,,
학교동창,1,1,61,137.0,8.0,78.0,22.0,38,,365,573,10.0,25,3.0,3964,120,147,2,0,5,9,273.0,2,772,251,5,72,159,174,23,6,0,213,8,1,5,0,989.0,,,,,,,,
교도소동료,1,0,26,2.0,0.0,2.0,1.0,0,,4,3,10.0,0,0.0,40,3,0,0,0,0,0,3.0,0,174,7,0,0,3,13,70,2,0,0,0,0,0,0,28.0,,,,,,,,
직장동료,2,9,36,8.0,2.0,52.0,6.0,20,,463,643,21.0,40,3.0,4067,57,230,35,16,72,0,415.0,7,3536,667,417,42,2048,2268,126,1589,131,357,739,2,45,0,7419.0,,,,,,,,
친인척,10,0,21,10.0,0.0,11.0,0.0,0,,459,875,44.0,63,32.0,2961,35,144,0,0,3,0,221.0,14,1819,348,89,10,102,660,56,203,12,106,221,5,14,3,2399.0,,,,,,,,
군동료,0,0,0,1.0,0.0,6.0,0.0,0,,2,8,0.0,1,0.0,31,0,1,0,0,1,0,4.0,0,45,3,0,0,16,13,1,0,0,0,1,0,0,0,22.0,,,,,,,,
동네친구,6,7,343,220.0,6.0,85.0,18.0,41,,963,1451,69.0,62,18.0,9440,220,214,2,0,4,24,312.0,1,4052,362,17,55,5499,1033,430,111,22,568,51,3,28,1,3149.0,,,,,,,,
고향친구,0,4,46,35.0,0.0,8.0,5.0,5,,267,216,10.0,19,1.0,1309,26,27,0,0,10,4,61.0,4,770,60,6,6,756,252,169,40,4,61,9,2,7,0,759.0,,,,,,,,
애인,4,1,28,9.0,0.0,2.0,3.0,3,,126,222,15.0,11,0.0,778,17,38,0,0,0,3,44.0,0,736,96,8,23,27,154,230,22,2,105,4,0,2,0,566.0,,,,,,,,
기타,29,18,269,118.0,7.0,100.0,25.0,34,,1233,2061,134.0,271,48.0,7277,261,540,23,30,253,21,1501.0,42,18253,1471,792,212,9519,8916,1208,4595,423,2261,1537,25,403,65,37791.0,,,,,,,,
미상,19,22,116,205.0,8.0,196.0,7.0,32,,1052,11967,263.0,802,42.0,5771,465,1204,294,329,104,88,5013.0,147,56206,7384,3287,174,1351,12220,374,1397,180,5443,199,64,262,386,28319.0,,,,,,,,
